dataset,outcome,scaling,lag,model,beta,se,p,sig,mean_y,n
hh,profit_12m,raw,2,M2,-147.96499665249067,646.7890566841613,0.8200009263783096,,24941.54484879549,17362
hh,profit_12m,raw,2,M3,-2062.754766433662,1296.7439824401458,0.11810477100380858,,24941.54484879549,17362
hh,profit_12m,raw,2,M4,-2726.205674017623,1504.900706414547,0.07618675697657205,*,24941.54484879549,17362
hh,profit_12m,raw,3,M2,-163.67235638079597,522.9031460109238,0.755603737354285,,24941.54484879549,17362
hh,profit_12m,raw,3,M3,-2612.5901632145765,1112.5536392435033,0.022940063068699525,**,24941.54484879549,17362
hh,profit_12m,raw,3,M4,-3363.209217138681,1265.9086939789665,0.010619646418040214,**,24941.54484879549,17362
hh,profit_12m,raw,5,M2,-4147.4507035420975,15616.126038609349,0.7916710178175839,,24941.54484879549,17362
hh,profit_12m,raw,5,M3,-74963.40356619746,33116.68553749878,0.028061131318008622,**,24941.54484879549,17362
hh,profit_12m,raw,5,M4,-98102.88412001963,38001.93718722667,0.012879181824685663,**,24941.54484879549,17362
hh,remit_amount_intl_12m_rs,lin,0,M2,7110.572002822621,16047.462151548936,0.6596461995632452,,58574.23475140953,17362
hh,remit_amount_intl_12m_rs,lin,0,M3,6569.230577933652,16009.699827505892,0.6833539338974783,,58574.23475140953,17362
hh,remit_amount_intl_12m_rs,lin,0,M4,-4636.011190817133,17258.023346699323,0.7893427368624848,,58574.23475140953,17362
hh,remit_amount_intl_12m_rs,lin,1,M2,-27364.10016136612,14440.614915491973,0.06400844236638707,*,58574.23475140953,17362
