hhid,year,any_shock,n_shocks,total_loss_rs,cope_private_transfer,cope_sell_assets,cope_savings,cope_borrow,cope_gov_transfer,cope_remittance,cope_other_mech,primary_savings,primary_borrow,primary_sell_assets,primary_gov_transfer,primary_private_transfer,primary_remittance,primary_none,shock_type_economic_price,shock_type_natural_disaster,shock_type_other_shock,shock_type_agricultural,shock_type_illness,shock_type_death,shock_type_economic_job
153,2016,1,2,17000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
153,2017,1,1,100000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
154,2016,1,3,152000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
154,2017,1,3,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
155,2016,1,1,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
156,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
158,2016,1,2,38000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
159,2016,1,2,2000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
160,2016,1,2,8000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
160,2017,1,1,200000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
161,2016,1,1,15000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161,2018,1,1,40000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
162,2016,1,2,35000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
163,2017,1,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
164,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
164,2017,1,1,24500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
165,2016,1,2,35000,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
166,2016,1,2,7200,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
167,2016,1,1,20000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
168,2016,1,1,2627,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
169,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
170,2016,1,1,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
171,2016,1,3,9000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
171,2017,1,1,20000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
172,2016,1,2,14500,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
173,2016,1,3,90000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
174,2016,1,3,28000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
174,2017,1,1,10000,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
175,2016,1,1,150000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
175,2017,1,1,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
