outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,scale_form,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag0,50,0,lin_int,FALSE,lin/lin,0.0353140751806889,"",0.076257774030641,0.645095830276194,5,0.668159224457614,399,401,+0.035 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag0,100,0,lin_int,FALSE,lin/lin,0.0533977748402991,"",0.0658745759577873,0.421682447555171,5,0.657962148658457,305,313,+0.053 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag1,0,1,lin_int,FALSE,lin/lin,0.0400268609512082,"",0.180504410902373,0.825111154402122,5,0.716186257619939,714,714,+0.040 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag1,25,1,lin_int,FALSE,lin/lin,0.00971875163113973,"",0.0825947617458768,0.906744468999368,5,0.655482876524281,469,475,+0.010 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag1,50,1,lin_int,FALSE,lin/lin,0.0362216859205253,"",0.0747704585187892,0.629964122463116,5,0.668159224457614,399,401,+0.036 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag1,100,1,lin_int,FALSE,lin/lin,0.0614453142927232,"",0.0659805455003332,0.35647606949207,5,0.657962148658457,305,313,+0.061 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag2,0,2,lin_int,FALSE,lin/lin,0.0362458927760017,"",0.18272346381796,0.843296415367899,5,0.716186257619939,714,714,+0.036 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag2,25,2,lin_int,FALSE,lin/lin,0.00959171731180966,"",0.0814083399011224,0.906622676810538,5,0.655482876524281,469,475,+0.010 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag2,50,2,lin_int,FALSE,lin/lin,0.0340226353694303,"",0.0753987521907325,0.653562033592372,5,0.668159224457614,399,401,+0.034 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag2,100,2,lin_int,FALSE,lin/lin,0.0564317953054694,"",0.0656017839484492,0.39403608816911,5,0.657962148658457,305,313,+0.056 index pts (baseline 0.000),""
