dataset,outcome,spec,threshold,lag,c_mig_log_flag,beta,stars,se,pval,mean_y,sd_y,n,n_muni,err
census,amen_assets_landline,S1_cmig_log,25,0,TRUE,-0.00522513921104665,"",0.00702592853067926,0.457430239822952,0.0347956222715259,0.0477657257005235,950,475,
census,amen_assets_landline,S2_lag1,25,1,FALSE,0.00336872394998223,**,0.00139658368219872,0.0162390791822831,0.0347956222715259,0.0477657257005235,950,475,
census,amen_assets_landline,S3_lag2,25,2,FALSE,0.00337497806000868,**,0.00141533745151461,0.0174911678405682,0.0347956222715259,0.0477657257005235,950,475,
census,amen_assets_landline,S4_lag3,25,3,FALSE,0.00305024574196646,**,0.00137798910562691,0.02733525467163,0.0347956222715259,0.0477657257005235,950,475,
census,amen_assets_landline,S5_lag4,25,4,FALSE,0.00277665547414536,**,0.00136691310591047,0.0427786498965735,0.0347956222715259,0.0477657257005235,950,475,
census,amen_assets_landline,S6_lag5,25,5,FALSE,0.00286120976693699,**,0.00139854030626039,0.0413220575620962,0.0347956222715259,0.0477657257005235,950,475,
census,amen_assets_landline,S7_lag10,25,10,FALSE,-0.00332076170860092,"",0.00353866902558687,0.348505964987934,0.0347956222715259,0.0477657257005235,950,475,
census,amen_assets_mobile,S0_baseline,25,0,FALSE,0.0246298778097315,***,0.00550085231315549,0.0000094737448391616,0.773493542179108,0.187412297778411,950,475,
census,amen_assets_mobile,S1_cmig_log,25,0,TRUE,-0.00718176820508811,"",0.0233331873281879,0.758375814440637,0.773493542179108,0.187412297778411,950,475,
census,amen_assets_mobile,S2_lag1,25,1,FALSE,0.0254636338000136,***,0.00577773042774549,0.0000129625289262711,0.773493542179108,0.187412297778411,950,475,
census,amen_assets_mobile,S3_lag2,25,2,FALSE,0.0256263070810936,***,0.00584240143719425,0.0000142207905061142,0.773493542179108,0.187412297778411,950,475,
census,amen_assets_mobile,S4_lag3,25,3,FALSE,0.0250866183970009,***,0.00585482724598549,0.0000221632901309712,0.773493542179108,0.187412297778411,950,475,
census,amen_assets_mobile,S5_lag4,25,4,FALSE,0.0248176707778453,***,0.00597748240306892,0.0000391100622598363,0.773493542179108,0.187412297778411,950,475,
census,amen_assets_mobile,S6_lag5,25,5,FALSE,0.025363960622993,***,0.00606763989373338,0.0000346928801274711,0.773493542179108,0.187412297778411,950,475,
census,amen_assets_mobile,S7_lag10,25,10,FALSE,0.00331185990902054,"",0.011234933020955,0.768289215913931,0.773493542179108,0.187412297778411,950,475,
census,amen_assets_motorcycle,S0_baseline,25,0,FALSE,0.0086467051586272,**,0.00381868019972144,0.0240055433066724,0.127868405788444,0.131815208419157,950,475,
census,amen_assets_motorcycle,S1_cmig_log,25,0,TRUE,0.00798183939301971,"",0.0173960579249444,0.646566314007265,0.127868405788444,0.131815208419157,950,475,
census,amen_assets_motorcycle,S2_lag1,25,1,FALSE,0.00898744740791655,**,0.00397586983731766,0.0242431482423386,0.127868405788444,0.131815208419157,950,475,
census,amen_assets_motorcycle,S3_lag2,25,2,FALSE,0.00870237018295313,**,0.00401887555129739,0.0308571618179766,0.127868405788444,0.131815208419157,950,475,
census,amen_assets_motorcycle,S4_lag3,25,3,FALSE,0.00914700125037936,**,0.00399360750720524,0.02243579743753,0.127868405788444,0.131815208419157,950,475,
census,amen_assets_motorcycle,S5_lag4,25,4,FALSE,0.00925899163801235,**,0.00400768762001947,0.0212996934696362,0.127868405788444,0.131815208419157,950,475,
census,amen_assets_motorcycle,S6_lag5,25,5,FALSE,0.00913746849652329,**,0.00409284298758887,0.026045067990784,0.127868405788444,0.131815208419157,950,475,
census,amen_assets_motorcycle,S7_lag10,25,10,FALSE,-0.00903132398542741,"",0.00794551706356662,0.25625620235534,0.127868405788444,0.131815208419157,950,475,
census,amen_assets_none,S0_baseline,25,0,FALSE,0.00104209424043765,"",0.0025949567885013,0.68817088402077,0.100245695776512,0.0799007626627199,950,475,
census,amen_assets_none,S1_cmig_log,25,0,TRUE,0.0184567595123969,"",0.0112239467278021,0.100754749680122,0.100245695776512,0.0799007626627199,950,475,
census,amen_assets_none,S2_lag1,25,1,FALSE,0.00114485154433251,"",0.00269453663743611,0.67111781629545,0.100245695776512,0.0799007626627199,950,475,
census,amen_assets_none,S3_lag2,25,2,FALSE,0.00117008617087615,"",0.00271680156470636,0.666893066464111,0.100245695776512,0.0799007626627199,950,475,
census,amen_assets_none,S4_lag3,25,3,FALSE,0.00138906547639856,"",0.00269324234214806,0.606262832362525,0.100245695776512,0.0799007626627199,950,475,
census,amen_assets_none,S5_lag4,25,4,FALSE,0.00148275726776772,"",0.00269079650058893,0.581860601709167,0.100245695776512,0.0799007626627199,950,475,
census,amen_assets_none,S6_lag5,25,5,FALSE,0.00136222670652263,"",0.00274199377381964,0.619559344495617,0.100245695776512,0.0799007626627199,950,475,
census,amen_assets_none,S7_lag10,25,10,FALSE,-0.003848717419709,"",0.00474322237410758,0.417535172743652,0.100245695776512,0.0799007626627199,950,475,
census,amen_assets_radio,S0_baseline,25,0,FALSE,0.0017367171986816,"",0.00687181392011713,0.800586013010225,0.450012100498177,0.181167897897572,950,475,
census,amen_assets_radio,S1_cmig_log,25,0,TRUE,-0.0140126918737798,"",0.0283952645888269,0.621897139896984,0.450012100498177,0.181167897897572,950,475,
census,amen_assets_radio,S2_lag1,25,1,FALSE,0.0017128193988018,"",0.00711138325553884,0.809770860837301,0.450012100498177,0.181167897897572,950,475,
census,amen_assets_radio,S3_lag2,25,2,FALSE,0.00165213392264144,"",0.00715722115380795,0.817542938896775,0.450012100498177,0.181167897897572,950,475,
census,amen_assets_radio,S4_lag3,25,3,FALSE,0.00132675125153054,"",0.0070004725090096,0.849763980223891,0.450012100498177,0.181167897897572,950,475,
census,amen_assets_radio,S5_lag4,25,4,FALSE,0.00102975795122754,"",0.00694847796277182,0.882248690739627,0.450012100498177,0.181167897897572,950,475,
census,amen_assets_radio,S6_lag5,25,5,FALSE,0.000779610237441477,"",0.00706638006441387,0.912196996267559,0.450012100498177,0.181167897897572,950,475,
census,amen_assets_radio,S7_lag10,25,10,FALSE,-0.00943185085828802,"",0.0129895634562539,0.468129769179707,0.450012100498177,0.181167897897572,950,475,
census,amen_assets_tv,S0_baseline,25,0,FALSE,-0.00190869406859039,"",0.00514332330651224,0.710727871934396,0.382459974190735,0.200491807172147,950,475,
census,amen_assets_tv,S1_cmig_log,25,0,TRUE,0.0209541773369856,"",0.0246880039957412,0.396443573997063,0.382459974190735,0.200491807172147,950,475,
census,amen_assets_tv,S2_lag1,25,1,FALSE,-0.00247537032208659,"",0.00531958378685521,0.641907736818632,0.382459974190735,0.200491807172147,950,475,
