dataset,outcome,sample,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_muni,sd_y
nec_cs,share_size_1_worker,full,50,0.00438563157112731,"",0.390737861092511,0.438563157112731,1.12239739421847,0.00641939952459309,0.497307430545126,399,401,0.120288662352084
nec_cs,share_size_1_worker,full,100,0.00576786004799697,"",0.389698211605841,0.576786004799697,1.4800837869461,0.00571089715005432,0.317679018782211,305,313,0.116552435353492
nec_cs,share_size_1_worker,receiver,0,0.0163000802967788,**,0.400151851698136,1.63000802967788,4.07347366446154,0.00676589259719268,0.0186628452076202,559,564,0.133121471305532
nec_cs,share_size_1_worker,receiver,25,0.0116415107329901,"",0.384676336877546,1.16415107329901,3.02631319292612,0.00699689056686827,0.102283605679149,327,338,0.122611796342114
nec_cs,share_size_1_worker,receiver,50,0.00291471418323215,"",0.390367044957559,0.291471418323215,0.746659898903363,0.00753335168530968,0.700466190295126,262,268,0.116277006762678
nec_cs,share_size_1_worker,receiver,100,0.0148974016970683,**,0.388328787995585,1.48974016970683,3.83628568305827,0.00647109925730881,0.0267517714971323,174,186,0.109553877339674
nec_cs,share_size_1_worker,sender,0,0.00164281459622369,"",0.388214676691304,0.164281459622369,0.423171686919504,0.0268277651064199,0.951606583482843,137,150,0.129126871460349
nec_cs,share_size_1_worker,sender,25,0.00471530622419395,"",0.391015583512018,0.471530622419395,1.20591260886384,0.00819067235934582,0.569772988147658,131,137,0.127879760281903
nec_cs,share_size_1_worker,sender,50,-0.00473770277391675,"",0.391485069544895,-0.473770277391675,-1.21018734620566,0.0097877275277407,0.632567083829073,127,133,0.128443550086768
nec_cs,share_size_1_worker,sender,100,-0.0000736240785370419,"",0.391703824137397,-0.00736240785370419,-0.0187958539080326,0.0107350670092915,0.994582363724056,122,127,0.12652609386388
nec_cs,share_size_2_9_workers,full,0,-0.0169251489424012,**,0.560345487928215,-1.69251489424012,-3.02048455944192,0.00651475019907278,0.0112829052344125,714,714,0.123780494495531
nec_cs,share_size_2_9_workers,full,25,-0.0152818320309943,***,0.56884860031636,-1.52818320309943,-2.68644979041795,0.00520076016718062,0.00475553994332169,469,475,0.114923295106215
nec_cs,share_size_2_9_workers,full,50,-0.00457038318509594,"",0.565182757924167,-0.457038318509594,-0.80865580575782,0.00542198680859457,0.402850738105181,399,401,0.111203724664846
nec_cs,share_size_2_9_workers,full,100,-0.00627095776641508,"",0.569212836865028,-0.627095776641507,-1.10168944905613,0.00504117092215376,0.219686948137521,305,313,0.108723720601422
nec_cs,share_size_2_9_workers,receiver,0,-0.0140652829982157,**,0.557822785138115,-1.40652829982157,-2.52146082464759,0.00670105205193489,0.0394810416724412,559,564,0.124499117662198
nec_cs,share_size_2_9_workers,receiver,25,-0.017430089962622,**,0.569706721932845,-1.7430089962622,-3.05948469477188,0.00676659485796923,0.0129382175801533,327,338,0.113215981175125
nec_cs,share_size_2_9_workers,receiver,50,-0.00699235438365916,"",0.564561252316479,-0.699235438365916,-1.23854663333137,0.0071692533739117,0.334094213359536,262,268,0.106562123642714
nec_cs,share_size_2_9_workers,receiver,100,-0.0182762037713261,**,0.570765766906595,-1.82762037713261,-3.20204974281805,0.00680379889604837,0.0105635541728236,174,186,0.102162916538086
nec_cs,share_size_2_9_workers,sender,0,0.0153866121256561,"",0.569830850418988,1.53866121256561,2.70020693234537,0.0247842639045189,0.53973802795605,137,150,0.12097773734321
nec_cs,share_size_2_9_workers,sender,25,-0.00393935055949274,"",0.566731482751603,-0.393935055949274,-0.695100004038305,0.00806806926226395,0.629455306214255,131,137,0.119429070420635
nec_cs,share_size_2_9_workers,sender,50,-0.00156241585713627,"",0.56643511508853,-0.156241585713627,-0.275833156440535,0.0107216820848572,0.885307197562131,127,133,0.120424766544912
nec_cs,share_size_2_9_workers,sender,100,-0.00400187598470781,"",0.56693846688289,-0.400187598470781,-0.705874838006795,0.0114503107216168,0.72964142204362,122,127,0.118056534703914
nec_cs,share_size_51plus_workers,full,0,-0.000523701179636284,**,0.00243169264027011,-0.0523701179636284,-21.5364874229381,0.000261518842004499,0.0488419573507542,714,714,0.0051172121878312
nec_cs,share_size_51plus_workers,full,25,-0.0000448757861118436,"",0.00281304348241547,-0.00448757861118436,-1.59527523809587,0.000431471667450948,0.917529418889787,469,475,0.00560901483084834
nec_cs,share_size_51plus_workers,full,50,0.000141725704934137,"",0.00271036021873502,0.0141725704934137,5.22903575526516,0.000339053806631859,0.677543054354943,399,401,0.00536330734027063
nec_cs,share_size_51plus_workers,full,100,0.000365270263456624,"",0.00235782889718847,0.0365270263456624,15.4918053592515,0.00034223645261411,0.291286397846276,305,313,0.00389171025031689
nec_cs,share_size_51plus_workers,receiver,0,-0.000277104628659422,"",0.00265105544354016,-0.0277104628659422,-10.4526153662551,0.000283852037211755,0.332361201157479,559,564,0.00530364334535315
nec_cs,share_size_51plus_workers,receiver,25,0.000292847522325048,"",0.0032683674613482,0.0292847522325048,8.96005500569537,0.000741620560278317,0.694581710870722,327,338,0.00596721014568468
nec_cs,share_size_51plus_workers,receiver,50,0.000577927610990893,"",0.00325016509930306,0.0577927610990893,17.7814847348776,0.000595056664079753,0.336116588628876,262,268,0.00570263532831427
nec_cs,share_size_51plus_workers,receiver,100,0.000681503820163698,"",0.00293530354770926,0.0681503820163698,23.217490426009,0.000558418378748252,0.229634488529839,174,186,0.00342515575907859
nec_cs,share_size_51plus_workers,sender,0,-0.00105221119372865,"",0.00160688849997472,-0.105221119372865,-65.4812822261905,0.00109458470218109,0.344635877423566,137,150,0.00426072541465789
nec_cs,share_size_51plus_workers,sender,25,-0.000123532822124235,"",0.00168968943220188,-0.0123532822124235,-7.31097796849309,0.000427578242770825,0.774939200938706,131,137,0.00443069052896324
nec_cs,share_size_51plus_workers,sender,50,0.000892958992926268,"",0.00162263309097386,0.0892958992926269,55.0314792600673,0.000811450117774754,0.281620350251677,127,133,0.00442763502995955
