outcome_group,dataset,outcome,spec,threshold,treatment_type,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Education,census,edu_literate,S0_baseline,25,log_int,0.0073898065653227,***,0.00213697537067042,0.000593116784382065,0.639975374673741,0.148252524325314,1425,475,+0.74pp (+1% of mean),
Education,census,edu_literate,S_fx_alone,25,fx_alone,-0.0303019885237719,"",0.0221529195809974,0.172005502341493,0.639975374673741,0.148252524325314,1425,475,-3.03pp (-5% of mean),
Education,census,edu_literate_female,S0_baseline,25,log_int,0.010373061789745,***,0.00237786687072709,0.0000158012543768889,0.551756134292075,0.166478396021487,1425,475,+1.04pp (+2% of mean),
Education,census,edu_literate_female,S_fx_alone,25,fx_alone,-0.0314487331753495,"",0.0234016984810016,0.179634814485906,0.551756134292075,0.166478396021487,1425,475,-3.14pp (-6% of mean),
Education,census,edu_literate_male,S0_baseline,25,log_int,0.00543523610117409,**,0.00213976132379314,0.0113997865898832,0.735256205433682,0.133852194615756,1425,475,+0.54pp (+1% of mean),
Education,census,edu_literate_male,S_fx_alone,25,fx_alone,-0.0235200280348653,"",0.0230848097074639,0.308792491500263,0.735256205433682,0.133852194615756,1425,475,-2.35pp (-3% of mean),
Education,census,edu_school_attend_6_16,S0_baseline,25,log_int,0.00901516078125636,***,0.00242516267579084,0.000225378181601384,0.84414139932467,0.11627659826249,1425,475,+0.90pp (+1% of mean),
Education,census,edu_school_attend_6_16,S_fx_alone,25,fx_alone,-0.068153734000699,***,0.020698518494095,0.00106651860812201,0.84414139932467,0.11627659826249,1425,475,-6.82pp (-8% of mean),
Education,census,edu_school_attend_6_16_female,S0_baseline,25,log_int,0.0131724945830637,***,0.00310482728827232,0.0000265847626040366,0.827517729712707,0.142106614878625,1425,475,+1.32pp (+2% of mean),
Education,census,edu_school_attend_6_16_female,S_fx_alone,25,fx_alone,-0.0702566444418286,**,0.0272004098880223,0.0100952264356205,0.827517729712707,0.142106614878625,1425,475,-7.03pp (-8% of mean),
Education,census,edu_school_attend_6_16_male,S0_baseline,25,log_int,0.00491468424069354,**,0.00211313253172674,0.0204512276173714,0.860328935749232,0.0939167282295754,1425,475,+0.49pp (+1% of mean),
Education,census,edu_school_attend_6_16_male,S_fx_alone,25,fx_alone,-0.0547317737363151,***,0.0180882614397154,0.00261444269888946,0.860328935749232,0.0939167282295754,1425,475,-5.47pp (-6% of mean),
Education,census,edu_years_mean,S0_baseline,25,log_int,-0.0231772250077949,"",0.0260523600071645,0.374110433337536,7.15431240583596,1.47173125432377,1425,475,-0.023 (baseline 7.154),
Education,census,edu_years_mean,S_fx_alone,25,fx_alone,-1.39484893547619,***,0.272156926197868,0.000000433648274558953,7.15431240583596,1.47173125432377,1425,475,-1.395 (baseline 7.154),
Education,hh,edu_spend_books_12m,S0_baseline,25,log_int,347.678425328419,*,179.240479222444,0.0538929200673765,2059.59364703895,2648.8113943667,11561,191,348 Rs (+17% of mean),
Education,hh,edu_spend_books_12m,S_fx_alone,25,fx_alone,-1007.72591540112,"",820.753572705238,0.22103882651867,2059.59364703895,2648.8113943667,11561,191,"-1,008 Rs (-49% of mean)",
Education,hh,edu_spend_food_lodging_12m,S0_baseline,25,log_int,-511.290760526188,*,289.885450748035,0.079378196112804,1781.12807299147,3621.21629948438,11561,191,-511 Rs (-29% of mean),
Education,hh,edu_spend_food_lodging_12m,S_fx_alone,25,fx_alone,-92.6643920315798,"",1389.47641416662,0.94689849823136,1781.12807299147,3621.21629948438,11561,191,-93 Rs (-5% of mean),
Education,hh,edu_spend_other_12m,S0_baseline,25,log_int,227.572280985598,"",179.445859672634,0.206280193261986,811.565092506547,2849.86234634777,11561,191,228 Rs (+28% of mean),
