outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,scale_form,beta,stars,se,pval,mean_y,sd_y,n,n_muni,n_unit,interpret,err
Assets / amenities,census,amen_assets_computer,S_log_lin_lag7,100,7,log_int,FALSE,log/lin,0.00146364049569546,"",0.00261087474951327,0.575476734758352,0.0767420948508957,0.0954830977270498,626,313,313,+0.15pp (+2% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag8,0,8,log_int,FALSE,log/lin,-0.0113550352943209,***,0.00171775492051159,0.0000000000751162968754704,0.0505545902913793,0.0723458824544718,1428,714,714,-1.14pp (-22% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag8,25,8,log_int,FALSE,log/lin,-0.00517740770078092,***,0.00193046893360984,0.007575093436694,0.0641021908365583,0.083480240479912,950,475,475,-0.52pp (-8% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag8,50,8,log_int,FALSE,log/lin,-0.00172337682391971,"",0.00210635891694536,0.413742596657634,0.0691932069856468,0.0885758249456326,802,401,401,-0.17pp (-2% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag8,100,8,log_int,FALSE,log/lin,0.00239729139120639,"",0.00266734198681631,0.369475366864067,0.0767420948508957,0.0954830977270498,626,313,313,+0.24pp (+3% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag9,0,9,log_int,FALSE,log/lin,-0.0130838370374965,***,0.00195719047263836,0.0000000000466115368147492,0.0505545902913793,0.0723458824544718,1428,714,714,-1.31pp (-26% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag9,25,9,log_int,FALSE,log/lin,-0.0049462419289679,**,0.00229465191988091,0.0316213494170013,0.0641021908365583,0.083480240479912,950,475,475,-0.49pp (-8% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag9,50,9,log_int,FALSE,log/lin,0.000236837881614115,"",0.00237075887835448,0.920474076554233,0.0691932069856468,0.0885758249456326,802,401,401,+0.02pp (+0% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag9,100,9,log_int,FALSE,log/lin,0.00593145305888822,**,0.00282207013583739,0.0363714505799926,0.0767420948508957,0.0954830977270498,626,313,313,+0.59pp (+8% of mean),
Assets / amenities,census,amen_assets_computer,S_log_log_lag6,0,6,log_int,TRUE,log/log,0.0156757920579534,***,0.00478464909750513,0.00110280825675726,0.0505545902913793,0.0723458824544718,1428,714,714,+1.57pp (+31% of mean),
Assets / amenities,census,amen_assets_computer,S_log_log_lag6,25,6,log_int,TRUE,log/log,0.0197462573610494,**,0.00892286619671283,0.0273736641244,0.0641021908365583,0.083480240479912,950,475,475,+1.97pp (+31% of mean),
Assets / amenities,census,amen_assets_computer,S_log_log_lag6,50,6,log_int,TRUE,log/log,0.00399787154893593,"",0.00989118133516044,0.686292371146475,0.0691932069856468,0.0885758249456326,802,401,401,+0.40pp (+6% of mean),
Assets / amenities,census,amen_assets_computer,S_log_log_lag6,100,6,log_int,TRUE,log/log,-0.00534019772556112,"",0.0112264677202305,0.634635781800749,0.0767420948508957,0.0954830977270498,626,313,313,-0.53pp (-7% of mean),
