dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,grid_c_mig,grid_c_fx,grid_block_set,grid_treatment
census,mort_child_death_ratio,Child Mortality,tx_log_int_nocmig_cfx_blk_none,0,-0.00265287832876237,***,0.0640094596159276,-0.265287832876237,-4.14450980320767,0.000686511602502939,0.00012157131058813,2142,714,714,3,0.0398607792748092,0.0215841582860306,,FALSE,TRUE,none,log_int
census,work_share_agriculture,Work Activity,tx_log_int_nocmig_cfx_blk_none,0,-0.005977354717276,**,0.472454624844199,-0.5977354717276,-1.26517011432519,0.00233320567547243,0.0106156689885497,2142,714,714,3,0.187669153175372,0.0102139856247431,,FALSE,TRUE,none,log_int
census,work_share_nonagriculture,Work Activity,tx_log_int_nocmig_cfx_blk_none,0,-0.00302866351073844,**,0.231037279564518,-0.302866351073844,-1.31089818770684,0.0013078810245182,0.0208573713769818,2142,714,714,3,0.108452635452806,0.0146738170826765,,FALSE,TRUE,none,log_int
census,work_share_wage_nonagri,Work Activity,tx_log_int_nocmig_cfx_blk_none,0,-0.00141308272839851,"",0.138148208907693,-0.141308272839851,-1.02287444735725,0.00092063590642575,0.125252347138764,2142,714,714,3,0.0764489192700265,0.0158053435128175,,FALSE,TRUE,none,log_int
census,work_share_own_nonagri,Work Activity,tx_log_int_nocmig_cfx_blk_none,0,-2.20537379375128e-05,"",0.0557556851693968,-0.00220537379375128,-0.0395542407388756,0.000400759840027276,0.956130130511833,2142,714,714,3,0.0325481350181184,0.00446200974942845,,FALSE,TRUE,none,log_int
census,work_share_extended_econ,Work Activity,tx_log_int_nocmig_cfx_blk_none,0,-0.00671217176199196,**,0.03490053694453,-0.671217176199195,-19.2322879520739,0.0033091891387089,0.0428964589612815,1428,714,714,2,0.0326807660999868,0.00642256308320888,,FALSE,TRUE,none,log_int
census,work_share_job_seeking,Work Activity,tx_log_int_nocmig_cfx_blk_none,0,0.00545623472483322,***,0.0396702297730753,0.545623472483322,13.7539781242619,0.000960980354712801,1.98657925481552e-08,2142,714,714,3,0.0495019283801409,0.0518591949168421,,FALSE,TRUE,none,log_int
census,work_share_household_chores,Work Activity,tx_log_int_nocmig_cfx_blk_none,0,-0.000819951827985145,"",0.165563208228782,-0.0819951827985145,-0.495250023696148,0.00192116710141542,0.669654713517429,2142,714,714,3,0.102359097896731,0.00738572193575948,,FALSE,TRUE,none,log_int
census,work_share_student,Work Activity,tx_log_int_nocmig_cfx_blk_none,0,0.0119162184188806,***,0.141826175364369,1.19162184188806,8.4019881296709,0.000900609772039635,6.77620726724418e-36,2142,714,714,3,0.0508519057602812,0.160380894935173,,FALSE,TRUE,none,log_int
census,work_share_no_work,Work Activity,tx_log_int_nocmig_cfx_blk_none,0,0.000559898995380093,*,0.0270937134396164,0.0559898995380093,2.06652733900038,0.000304595046292566,0.0664524549272347,2142,714,714,3,0.0146888862594589,0.00674546718110747,,FALSE,TRUE,none,log_int
census,work_lfp,Work Activity,tx_log_int_nocmig_cfx_blk_none,0,-0.00908822892283414,***,0.703691155679545,-0.908822892283414,-1.29150819212127,0.00188187098932692,1.67718882933018e-06,2142,714,714,3,0.119724658182342,0.0310125719997951,,FALSE,TRUE,none,log_int
census,occ_share_armed_forces,Occupation,tx_log_int_nocmig_cfx_blk_none,0,-0.000661700907971897,"",0.00210546299661077,-0.0661700907971897,-31.4278098944059,0.000630861968727757,0.29458699529553,2142,714,714,3,0.0146654895800454,0.0042798841516023,,FALSE,TRUE,none,log_int
census,occ_share_managers,Occupation,tx_log_int_nocmig_cfx_blk_none,0,-0.00414125866558805,***,0.0173703015772204,-0.414125866558805,-23.8410291679619,0.000450610092819178,4.21238077819045e-19,2142,714,714,3,0.0256907461242051,0.100434965627347,,FALSE,TRUE,none,log_int
census,occ_share_professionals,Occupation,tx_log_int_nocmig_cfx_blk_none,0,0.000208406863893589,"",0.0312847396701875,0.0208406863893589,0.666161413170358,0.000221955993279602,0.348071412032079,2142,714,714,3,0.018317446081251,0.00123048937161441,,FALSE,TRUE,none,log_int
census,occ_share_technicians,Occupation,tx_log_int_nocmig_cfx_blk_none,0,-0.000199367488491239,"",0.0118661231096918,-0.0199367488491239,-1.68014006468889,0.000158323223279472,0.208354480778029,2142,714,714,3,0.0143609346738715,0.00126314090907231,,FALSE,TRUE,none,log_int
census,occ_share_office_assistants,Occupation,tx_log_int_nocmig_cfx_blk_none,0,-0.000164113845404053,"",0.00994032158876135,-0.0164113845404053,-1.65099130786273,0.000175605204127444,0.350330772895833,2142,714,714,3,0.0120667599170185,0.00079001702719661,,FALSE,TRUE,none,log_int
census,occ_share_service_sales,Occupation,tx_log_int_nocmig_cfx_blk_none,0,0.000657552227218404,"",0.0506750100488116,0.0657552227218404,1.29758677222763,0.000491770781744512,0.181612762823682,2142,714,714,3,0.0417647889396952,0.00374292176430968,,FALSE,TRUE,none,log_int
census,occ_share_agriculture,Occupation,tx_log_int_nocmig_cfx_blk_none,0,0.000667357514119912,"",0.667233174164653,0.0667357514119912,0.100018635157854,0.00184245864804126,0.717302205917522,2142,714,714,3,0.191836625949815,0.00580404926658784,,FALSE,TRUE,none,log_int
census,occ_share_craft_trades,Occupation,tx_log_int_nocmig_cfx_blk_none,0,0.00215596286547207,***,0.0615363965226041,0.215596286547207,3.50355722353701,0.000640077496434343,0.000797028568532523,2142,714,714,3,0.0432777797742611,0.0112897585286976,,FALSE,TRUE,none,log_int
census,occ_share_machine_operators,Occupation,tx_log_int_nocmig_cfx_blk_none,0,1.72380698269665e-05,"",0.0153747796463934,0.00172380698269665,0.11211913421478,0.000212539836234929,0.935381111021989,2142,714,714,3,0.0169682721909864,0.00477101102402888,,FALSE,TRUE,none,log_int
census,occ_share_elementary,Occupation,tx_log_int_nocmig_cfx_blk_none,0,0.00155531981558055,"",0.132340358935594,0.155531981558055,1.17524225269592,0.00128734953568965,0.2273875958261,2142,714,714,3,0.103042829509413,0.00336479989020622,,FALSE,TRUE,none,log_int
census,ind_agri_forestry_fish,Industry,tx_log_int_nocmig_cfx_blk_none,0,-0.00552275114279426,***,0.720107329491921,-0.552275114279426,-0.76693444388226,0.00189375449934086,0.00365335489005556,2142,714,714,3,0.167455891651104,0.00706029187680202,,FALSE,TRUE,none,log_int
census,ind_manufacturing,Industry,tx_log_int_nocmig_cfx_blk_none,0,-9.2643312318342e-05,"",0.046764737586215,-0.0092643312318342,-0.198105061848248,0.000505633044937637,0.854675588560579,2142,714,714,3,0.0416306480592755,0.000193071172242765,,FALSE,TRUE,none,log_int
census,ind_construction,Industry,tx_log_int_nocmig_cfx_blk_none,0,0.00516603301818491,***,0.0401473022822958,0.516603301818491,12.8676965188344,0.000814027914001243,3.92206376486605e-10,2142,714,714,3,0.0383742240308461,0.0538347816482564,,FALSE,TRUE,none,log_int
census,ind_wholesale_retail,Industry,tx_log_int_nocmig_cfx_blk_none,0,0.00306108665772385,***,0.0639627231195043,0.306108665772385,4.78573536027335,0.000687339702695838,9.80327677694412e-06,2142,714,714,3,0.0472220168476722,0.0253715179620146,,FALSE,TRUE,none,log_int
census,ind_transport_accommodation,Industry,tx_log_int_nocmig_cfx_blk_none,0,-0.00115168518922875,***,0.0246027060823409,-0.115168518922875,-4.68113217047857,0.000291262891117865,8.44843950739505e-05,2142,714,714,3,0.026622393075539,0.0237523741662715,,FALSE,TRUE,none,log_int
