"lgcode","year","geog_pop_2001","geog_total_mig_2001","geog_intensity_2001","shareshock_index_2001","shareshock_growth_yoy","shareshock_log_yoy","shareshock_growth_dec","shareshock_log_dec","ssiv_index_2001","ssiv_growth_yoy","ssiv_log_yoy","ssiv_growth_dec","ssiv_log_dec","absexp_index_2001","absexp_growth_yoy","absexp_log_yoy","absexp_growth_dec","absexp_log_dec"
70406,2020,17367,15,0.000863707030575229,0.751665955766667,-0.0380832328666667,-0.03904787754,0,0,0.000649219170639719,-0.0000328927559739736,-0.0000337259263603386,0,0,11.2749893365,-0.571248493,-0.5857181631,0,0
70406,2021,17367,15,0.000863707030575229,0.742038084753333,-0.0178062958066667,-0.0184901543533333,-0.255704142026667,-0.311210582786667,0.000640903510756032,-0.0000153794228767202,-0.0000159700763113952,-0.000220853465215639,-0.000268794768342258,11.1305712713,-0.2670944371,-0.2773523153,-3.8355621304,-4.6681587418
70406,2022,17367,15,0.000863707030575229,0.737438963866667,-0.00966207824666667,-0.0102620441666667,0,0,0.000636931217711752,-0.00000834520491161398,-0.00000886339969482352,0,0,11.061584458,-0.1449311737,-0.1539306625,0,0
70406,2023,17367,15,0.000863707030575229,0.742196675353333,-0.00369956171333333,-0.00520006547333333,0,0,0.000641040486572235,-0.00000319533746185294,-0.0000044913331087695,0,0,11.1329501303,-0.0554934257,-0.0780009821,0,0
70407,2000,14884,13,0.000873421123353937,0.236359206307692,0,0,0,0,0.00020644112348831,0,0,0,0,3.072669682,0,0,0,0
70407,2001,14884,13,0.000873421123353937,0.230769230769231,-0.00535847073076923,-0.0054722965,0,0,0.000201558720773985,-0.00000468020152512765,-0.00000477961935635582,0,0,3,-0.0696601195,-0.0711398545,0,0
70407,2002,14884,13,0.000873421123353937,0.224281779792308,-0.00648745097692308,-0.00660361811538462,0,0,0.000195892444054018,-0.00000566627671996775,-0.00000576773955253964,0,0,2.9156631373,-0.0843368627,-0.0858470355,0,0
70407,2003,14884,13,0.000873421123353937,0.224094560369231,-0.000148665876923077,-0.000184628907692308,0,0,0.0001957289226552,-0.000000129847917226552,-0.000000161258787960226,0,0,2.9132292848,-0.0019326564,-0.0024001758,0,0
70407,2004,14884,13,0.000873421123353937,0.227230978469231,0.00319730145384615,0.00315369665384615,0,0,0.00019846833647541,0.00000279259062751948,0.00000275450527411986,0,0,2.9540027201,0.0415649189,0.0409980565,0,0
70407,2005,14884,13,0.000873421123353937,0.231326203515385,0.00411160655384615,0.00406107737692308,0,0,0.000202045192535609,0.00000359116401504972,0.00000354703076457941,0,0,3.0072406457,0.0534508852,0.0527940059,0,0
70407,2006,14884,13,0.000873421123353937,0.225602205853846,-0.00575877422307692,-0.005937529,0,0,0.000197045732067992,-0.00000502983505106154,-0.00000518596324912658,0,0,2.9328286761,-0.0748640649,-0.077187877,0,0
